model,split,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,BERTScore
tiiuae/falcon-7b-instruct,train,0.023010554577173464,0.15641357257146057,0.0664453715897384,0.1508662290940467,0.14147234255483368,0.404852903211496
tiiuae/falcon-7b-instruct,val,0.027453653760944368,0.1777103819192415,0.08061004552032544,0.17124830829046223,0.15660481380973892,0.4189539069460758
tiiuae/falcon-7b-instruct,test,0.023207676601464916,0.1664636857005266,0.06850256451816197,0.15964687094402563,0.14593422707728512,0.4128649977878409
google/flan-t5-large,train,0.14291484537987406,0.4046758667674179,0.23976035619863453,0.38931503783282556,0.4099033693391743,0.6403834897096984
google/flan-t5-large,val,0.159240816591967,0.4090164166981246,0.24897146502080578,0.39273245604301504,0.4045407615948013,0.6420457955452722
google/flan-t5-large,test,0.13254259237877727,0.3900928806497139,0.21994226424400695,0.37374997936729976,0.3843887080648424,0.6348764066541962
facebook/opt-1.3b,train,0.04071909654033885,0.28910491517726916,0.14237496242349484,0.2810432422866051,0.2731550098628918,0.4878242105413467
facebook/opt-1.3b,val,0.043763349485854634,0.2976709088502429,0.1500797558344074,0.28872209101931,0.27130786029892445,0.4963241326856675
facebook/opt-1.3b,test,0.038728140205296746,0.28437803721105065,0.13453994707034478,0.2755633163577456,0.26056986010309463,0.4916992090960512
