model,split,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,BERTScore
tiiuae/falcon-7b-instruct,train,0.1404490211362982,0.39522497449755056,0.22224776778734892,0.37774081617228045,0.38644313784539513,0.6434153094569935
tiiuae/falcon-7b-instruct,val,0.15640522268205548,0.4115727096474096,0.23620021593624774,0.3932098124029118,0.3987903760509874,0.6577785834742628
tiiuae/falcon-7b-instruct,test,0.13631385949984512,0.39522091354300676,0.2144216910210865,0.3768200006776122,0.3785911147840713,0.6501637260817724
google/flan-t5-large,train,0.19745837000569758,0.493192605329399,0.3022099680563668,0.4753183642046769,0.47072782691349424,0.7176519672084173
google/flan-t5-large,val,0.22096015005057498,0.4997676245989606,0.31282351526255636,0.4807704193426353,0.4686793603647949,0.7240730686600124
google/flan-t5-large,test,0.18277646028565678,0.4796607103364464,0.2792877991373466,0.4604574657968962,0.4451130235631549,0.7160042454940888
facebook/opt-1.3b,train,0.040687433853122214,0.2838773716998149,0.13904308159578382,0.27556424377694494,0.2969062770023162,0.4687760404515498
facebook/opt-1.3b,val,0.04378225151088874,0.2840507892906065,0.142918856737488,0.27545018054381337,0.2886631753662111,0.46676974475890237
facebook/opt-1.3b,test,0.03777431072786811,0.2729007664288656,0.12741835804314586,0.26437247987585166,0.27909393254283943,0.46326792333563177
